screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score,Followwonk,,
SeanIzaakse,2693,45406,104,2705,1728,139,16.8608,11.5262,0.1901,87,1.941,0.7176,172717,1071.008,395.9364,103.856,20.8213,2.0705,0.16,0.33,0.24,0.578,619.0426,57,,
SeanNittner,3632,19788,159,2653,498,107,5.4482,3.4328,0.0834,364,5.879,2.216,179622,1280.705,482.7384,106.642,22.5856,1.1321,0.05,0.1,0.44,0.47,601.9313,58,,
CadeRageous,3326,30942,94,261869,142813,1371,9.3031,8.0135,0.0346,194,9.632,0.0368,245966,1710.016,6.53,93.856,27.4447,1.2772,0.1,0.1,0.36,0.352,601.9256,67,,
chinnky,3303,13180,128,2539,2295,16,3.9903,0.9319,0.0696,20,0.288,0.1134,216822,1832.083,721.5766,85.81,18.7817,1.4203,0.07,0.06,0.35,0.327,599.0911,44,,
The_RonJones,1987,2695,156,823,1124,90,1.3563,0.4977,0.2159,17,0.546,0.6634,177006,990.528,1203.5577,113.402,20.3416,3.1144,0.71,0.14,0.54,0.604,598.2789,43,,
PenanceRPG,1133,22221,163,5168,5096,68,19.6125,53.9409,0.4678,31,2.823,0.5462,351796,747.187,144.5795,130.55,9.5171,3.2135,0.53,0.09,0.44,0.795,594.0137,67,,
suzigodson,2451,3459,31,7535,3731,108,1.4113,0.5851,0.1624,326,1.314,0.1744,431778,857.966,113.8641,117.401,21.0873,1.54,0.15,0.06,0.51,0.689,591.1386,59,,
Zengar,3708,69925,15,1423,675,25,18.8579,26.4186,0.1033,55,1.163,0.8173,108915,1254.009,881.2431,88.866,-2.8163,1.4062,0.03,0.29,0.19,0.467,585.6222,65,,
IMsweden,2945,4904,134,2651,3875,47,1.6652,1.0384,0.182,90,1.529,0.5768,676941,703.149,265.2392,123.649,0.991,1.5191,0.58,0.12,0.52,0.826,580.8011,50,,
asadayaz,3421,7501,126,2584,229,35,2.1926,2.5174,0.0704,6637,32.255,12.4826,163661,801.798,310.2933,89.441,20.8117,2.5641,0.6,0.21,0.48,0.724,580.5018,57,,
datdoofus,1023,1581,103,62,117,0,1.5455,29.3021,0.1906,49,0.709,11.4355,857162,2628.439,42394.1774,95.538,4.794,1.1089,0.35,0.41,0.31,0.219,575.6281,36,,
MissNykki,1202,1445,21,96,152,0,1.2022,1.386,0.1265,521,1.034,10.7708,1139589,3377.638,35183.7292,79.385,18.9743,2.9167,0.04,0.28,0.25,0.17,574.1985,17,,
StileTeckel,2127,11366,70,322,91,42,5.3437,2.0489,0.2214,9,0.354,1.0994,134201,958.509,2976.736,113.438,14.8361,1.1875,0.24,0.15,0.64,0.599,574.1469,48,,
madil80,3439,194775,143,38504,173,1476,56.6371,2.2219,0.2617,105,0.149,0.0039,100214,605.878,15.7355,125.114,3.9924,1.7229,0.25,0.1,0.19,0.936,567.1018,79,,
Geeky_Tim,3055,11990,60,2464,687,113,3.9247,6.1123,0.1221,38,1.134,0.4602,141063,1326.046,538.168,95.512,10.0829,1.2379,0.21,0.07,0.2,0.424,562.2435,57,,
RemedyzPwnCast,2539,2404,95,502,388,7,0.9468,1.6361,0.1,20,1.128,2.247,496929,1974.698,3933.6614,83.571,12.0269,1.3469,0.1,0.41,0.15,0.281,554.8901,47,,
fr3quency_,2482,15049,53,1997,1555,8,6.0633,1.9194,0.137,46,0.899,0.4502,187851,949.956,475.6915,73.11,6.1545,1.5484,0.09,0.04,0.18,0.578,549.0746,50,,
OutOnTheMoors,1436,284355,23,13667,8498,358,198.0188,194.2632,0.6128,195,0.747,0.0547,109858,598.816,43.8147,109.564,3.7925,1,0.01,0.03,0.08,0.905,541.9285,79,,
TheNazzaro,2487,9866,129,1029,497,30,3.967,1.3671,0.0635,78,2.393,2.3256,345744,2373.737,2306.8387,91.491,15.0883,1.2857,0.07,0.18,0.24,0.226,536.4646,49,,
johnhalton,3617,14442,146,1373,294,81,3.9928,0.452,0.1004,71,1.006,0.7327,144368,1090.928,794.5579,116.567,7.6081,1.2075,0.05,0.13,0.49,0.485,529.1001,59,,
