screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score
Andi_Roberts,3364,8747,156,5986,6202,229,2.6002,0.9646,0.0654,100,1.409,0.2354,38404,108.292,18.0909,115.652,27.2074,1.5721,0.22,0.05,0.53,41.6924
Androidheadline,3289,233178,94,572373,485,3810,70.8963,0.1779,0.1052,77,6.03,0.0105,19,1.929,0.0034,117.488,8.5118,3.9205,0.15,0.85,1,1.5741
angelaanimates,2528,1039,156,379,954,18,0.411,1.3422,0.0261,509,2.455,6.4776,113299,167.647,442.3404,79.326,23.8289,2.1,0.23,0.32,0.29,35.3735
Angus_A,3657,2750,160,1877,1785,90,0.752,0.1717,0.0826,47,1.338,0.7128,369054,459.3,244.699,124.106,16.9464,1.5541,0.16,0.27,0.68,216.7896
AnotherIdolBot,1196,74820,18,6687,734,96,62.5585,2.3587,0.0259,69,7.467,1.1166,7921,62.207,9.3027,135.063,-2.6152,1.5,0.01,0.04,0.97,45.5977
AntikBar,2441,31062,141,14179,14174,232,12.7251,0.2294,0.0049,19,1.117,0.0788,19,0.559,0.0394,138.005,55.6885,2.0901,0.35,0.02,0.99,0.1593
AppUnwrapper,2436,107862,146,3010,991,172,44.2783,1.0029,0.0333,110,0.906,0.301,139293,353.11,117.3123,78.829,5.2311,1.9286,0.03,0.11,0.27,73.0938
AppzBay,1127,17740,72,577,1897,389,15.7409,0.0302,0,2,0.0893,0.0867,2,0.1286,0.1248,107.8071,16.7498,2.4015,0.95,0,1,0.0154
ArcaneVoid,1753,1308,143,45,227,0,0.7461,0.4877,0.065,195,1.288,28.6222,83213,915.267,20339.2667,105.209,12.5729,1,0.02,0.03,0.27,217.8335
AreaGamesFC,1562,1315,75,267,683,5,0.8419,0.0659,0.0429,8,0.278,1.0412,251,0.579,2.1685,81.873,1.6785,2.1429,0.28,0.55,0.46,0.1002
ArtByEmilyHare,1652,4600,60,2720,1165,75,2.7845,2.5345,0.0805,315,6.541,2.4048,180615,822.006,302.2081,83.003,35.8628,2.4493,0.14,0.08,0.36,267.974
asadayaz,3417,7480,126,2525,229,36,2.1891,2.506,0.0705,6637,32.255,12.7743,163661,801.798,317.5438,89.441,20.8117,2.5641,0.6,0.21,0.48,580.5018
Asako_Soh,2325,91221,124,6024,6625,182,39.2348,49.3389,0.314,43,0.679,0.1127,113492,326.555,54.209,115.229,23.2147,1.5333,0.23,0.09,0.14,245.8959
AstorPlaceNYC,1618,1790,63,951,150,33,1.1063,1.7695,0.2225,121,2.303,2.4217,240,4.238,4.4564,126.945,35.9205,1.4771,0.37,0.12,0.68,2.9496
atassani,3050,2649,49,796,547,54,0.8685,0.3305,0.1069,35,1.71,2.1482,124099,387.875,487.2802,100.182,22.7105,1.3192,0.35,0.21,0.33,212.5555
athomas_tr,741,1320,158,859,767,39,1.7814,2.0324,0.4211,22,0.913,1.0629,1584,11.686,13.6042,124.63,45.9653,1.6108,0.65,0.13,0.73,6.0183
AtriusEndures,1190,2080,110,929,1082,40,1.7479,3.3546,0.4538,73,2.157,2.3219,87599,105.763,113.8461,118.83,30.581,2.1725,0.43,0.14,0.25,77.4185
