screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
TheDemonatrix,115,15,132,22,28,4,0.1304,0.0957,0.0087,4,1.3333,0.9091,762,51.4,35.0455,118.9333,23.296,0,0.00,0.07,0.73,0.4,0
TheMotleyGeek,396,1002,154,229,313,7,2.5303,1.1843,0.1641,41,2.56,11.179,140523,338.321,1477.3843,119.567,27.6523,2.9182,0.70,0.20,0.66,0.332,0
tigergivez,2542,6874,0,5046,86,5,2.7042,0.1424,0.0696,34,1.6107,0.1254,861527,2227.7277,173.5032,70.0687,17.2146,1.625,0.04,0.12,0.06,0.6565,1
tinkerbellsway,2886,101742,155,1422,768,90,35.2536,52.8295,0.0471,54,2.824,1.9859,139579,360.569,253.5647,71.882,8.0034,1.4194,0.06,0.12,0.12,0.177,0
TNProverbs1210,2370,21415,159,1681,953,19,9.0359,4.9582,0.0338,61,6.277,3.7341,223,2.328,1.3849,115.701,42.8362,1.1971,0.21,0.16,0.65,0.615,1
TowerPB,2549,5480,117,9749,184,133,2.1499,1.7109,0.0451,56,2.465,0.2528,206,2.038,0.209,101.386,35.7687,2.3659,0.53,0.54,0.27,0.538,1
treadway_pd_67,334,15940,150,1384,1453,5,47.7246,50.7365,1.8593,26,0.338,0.2442,67471,2009.261,1451.7782,117.829,-0.8522,1.6,0.09,0.10,0.34,0.67,1
Trendygadgetrev,124,535,88,527,1214,2,4.3145,2.9355,3.2177,17,0.2849,0.2865,48203,533.6962,536.7343,110.4623,19.18,2.2793,0.21,0.30,0.54,0.7849,1
tristanpw1,3082,72625,65,2058,1768,61,23.5642,16.1074,0.1794,118,0.834,0.4052,512782,1059.415,514.7789,107.109,4.2346,1.4217,0.08,0.10,0.32,0.644,1
TypographyCrime,2764,37,112,26,64,1,0.0134,0.0011,0.0,6,0.3514,0.5,2,0.1081,0.1538,107.6486,12.747,4.0,0.54,0.05,0.32,0.0811,0
UCI_CDT,2292,1485,133,1199,3960,126,0.6479,0.2936,0.0842,18,1.277,1.0651,352,1.747,1.457,125.255,27.3076,1.63,0.57,0.12,0.70,0.519,1
UKCrowdfundWeek,1713,44928,146,3933,1834,574,26.2277,0.0315,0.0,3,0.352,0.0895,3,0.277,0.0704,101.349,13.128,2.441,1.00,0.00,1.00,0.256,0
UltClassicRock,2593,90492,86,192754,59,1537,34.8986,0.9537,0.0189,502,25.881,0.1343,1605,19.558,0.1015,93.041,8.9294,1.0,0.01,0.02,0.96,0.98,1
uniteditions,3257,6669,123,18907,337,388,2.0476,1.3027,0.1179,320,11.592,0.6131,151143,390.256,20.6408,112.802,24.5124,1.385,0.21,0.31,0.65,0.808,1
uomdigilab,227,473,114,287,243,10,2.0837,0.7885,0.2952,15,1.6533,2.7247,3190,11.1797,18.4251,105.9387,29.9921,1.3066,0.29,0.12,0.71,0.4588,0
UpshallGames,1689,5099,70,3986,287,10,3.0189,2.2623,0.0379,355,20.387,5.1147,295111,707.587,177.5181,82.373,11.9063,1.3333,0.01,0.10,0.35,0.399,0
usefulcharts,1431,1091,132,9069,54,169,0.7624,0.3187,0.0077,55038,79.462,8.7619,24363,34.676,3.8236,103.792,29.2106,1.4274,0.35,0.41,0.48,0.602,1
ValiantFireside,2159,2918,109,1390,882,14,1.3516,1.3455,0.1186,6,0.506,0.364,452,5.151,3.7058,115.085,29.913,1.3898,0.41,0.21,0.64,0.381,0
VBCmokola,1128,23191,65,714,30,4,20.5594,1.2642,0.0098,27,0.669,0.937,19,0.627,0.8782,121.631,30.6383,2.558,0.59,0.03,0.49,0.229,0
Vijith_V2,1525,9006,116,261,136,7,5.9056,0.4892,0.1128,57,1.175,4.5019,237,2.942,11.272,118.598,11.9223,2.1376,0.92,0.21,0.62,0.367,0
vingar,3404,15753,124,2057,2964,1494,4.6278,1.0588,0.0602,14,0.487,0.2368,177655,526.114,255.7676,121.63,18.8998,2.0982,0.40,0.08,0.76,0.3,0
wade_spiker,585,8966,160,3184,4865,13,15.3265,9.8906,0.494,42,1.106,0.3474,34537,760.077,238.7177,115.453,6.7189,1.0925,0.29,0.14,0.54,0.558,1
werdcom,3066,4815,28,5735,1193,202,1.5705,0.0,0.0,6,0.669,0.1167,4,0.182,0.0317,138.077,18.203,0,0.00,0.03,1.00,0.153,0
WillCHogan3,2360,1332,73,170,1202,5,0.5644,0.6233,0.1852,8,0.132,0.7765,200938,4658.052,27400.3059,109.959,-3.0838,1.2529,0.09,0.04,0.58,0.465,0
WinsterLimited,115,269,45,198,458,0,2.3391,8.6783,0.3217,10,4.0297,5.4747,14,1.5688,2.1313,133.4126,14.3999,2.6944,0.54,0.01,0.93,0.7361,1
WoodMarketing,3301,4866,69,1462,1140,98,1.4741,0.5835,0.159,40,2.361,1.6149,21583,36.201,24.7613,127.844,21.9472,1.6114,0.35,0.05,0.58,0.874,1
wristreview,1982,2837,78,3606,893,64,1.4314,0.2144,0.0005,19,2.106,0.584,15,1.551,0.4301,135.744,4.0506,5.2471,0.94,0.00,0.99,0.977,1
ww_review,1363,2237,44,2545,1,27,1.6412,0.0,0.0,4,0.815,0.3202,3,0.443,0.1741,99.104,8.5608,1.9104,0.07,0.03,0.99,0.413,0
YogiJennie,1745,2094,154,363,398,9,1.2,2.7272,0.098,4,0.162,0.4463,3258,14.24,39.2287,93.825,21.2204,1.1944,0.11,0.04,0.74,0.202,0
ZacharyJFowler,798,750,146,680,151,15,0.9398,1.0226,0.0689,72,2.4893,2.7456,754,1.4267,1.5735,113.4293,6.9716,2.6099,0.24,0.15,0.78,0.2547,0
zoompropertyuae,177,98,160,65,246,0,0.5537,0.0,0.0056,4,0.2755,0.4154,3,0.2245,0.3385,121.7653,28.7099,1.8846,0.27,0.16,0.87,0.1633,0
Zorilita,3630,20515,140,741,625,94,5.6515,1.3278,0.0441,19,0.441,0.5951,44731,391.874,528.8448,104.402,22.3117,4.2438,0.20,0.08,0.58,0.261,0
zoxso,2409,137,99,136,337,5,0.0569,0.0029,0.0154,2,0.0292,0.0294,325,3.0949,3.1176,114.8759,31.6379,1.0,0.05,0.09,0.45,0.3504,0
