screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
rafaelshimunov,3285,14740,145,4564,1845,112,4.4871,7.39,0.1145,1805,8.712,1.9089,194080,1205.745,264.186,118.183,3.9803,1.2059,0.1,0.11,0.43,0.613,1
NaeKhen,2475,14792,150,163,301,2,5.9766,1.8295,0.1943,68,0.474,2.908,514068,9011.721,55286.6319,97.992,4.3088,1.1519,0.08,0.23,0.23,0.501,1
alanbahr,3128,14889,98,726,186,37,4.7599,3.3683,0.0483,45,2.792,3.8457,63203,111.099,153.0289,81.809,14.8936,1.5385,0.05,0.1,0.24,0.281,0
Mocha_Soul,2735,14936,143,1319,2281,4,5.4611,5.1598,0.1762,86,2.403,1.8218,42370,284.654,215.8105,124.827,0.5218,1.37,0.1,0.04,0.44,0.596,1
grumpyvegan,3412,15010,160,3582,1599,175,4.3992,0.522,0.0941,74,1.088,0.3037,60788,486.522,135.8241,121.918,12.8865,1.5093,0.27,0.03,0.6,0.555,1
ebaraf,3344,15318,117,5925,3847,231,4.5807,4.5209,0.0709,86,3.455,0.5831,56147,183.291,30.9352,91.19,35.5935,1.5464,0.1,0.12,0.31,0.399,0
hyperstarter,946,15470,155,3017,85,260,16.3531,4.7706,0.0159,9,0.66,0.2188,867,1.836,0.6086,136.789,34.1032,1.9754,0.57,0.01,0.98,0.265,0
datafaucet,3611,15479,55,5241,2016,174,4.2866,8.1113,0.0994,87,0.821,0.1566,196656,1728.71,329.8435,122.555,25.3382,2.0467,0.15,0.1,0.59,0.467,0
varnished_truth,812,15694,158,2541,3248,79,19.3276,51.1244,0.2512,63,2.718,1.0697,41572,345.443,135.9477,114.279,14.4515,2.0344,0.35,0.14,0.6,0.35,0
randomdnd,752,15747,118,1326,3,70,20.9402,0.2965,0.0027,7,0.812,0.6124,3,0.163,0.1229,132.737,-31.9597,1,0.73,0,0.2,0.145,0
vingar,3407,15807,124,2068,2968,1494,4.6396,1.0678,0.0602,14,0.487,0.2355,177655,526.114,254.4072,121.63,18.8998,2.0982,0.4,0.08,0.76,0.3,0
martiansoil,3660,15934,99,5522,1330,356,4.3536,2.0557,0.0437,56,3.435,0.6221,14779,33.359,6.0411,111.131,15.7249,1.5204,0.1,0.12,0.84,0.745,1
DavidBaity,1900,15945,27,13477,8997,110,8.3921,0.3258,0.0379,9,0.408,0.0303,121184,128.867,9.562,122.149,4.36,3.1786,0.9,0.1,0.93,0.566,1
Joel_Couture,2535,16161,158,2943,602,110,6.3751,5.927,0.1787,147,2.744,0.9324,11861,89.272,30.3337,122.072,17.507,1.9882,0.09,0.24,0.54,0.67,1
Huckberry,2883,16170,38,39807,877,468,5.6087,3.8162,0.0042,162,12.725,0.3197,1809,3.728,0.0937,112.376,19.3514,1,0.05,0.19,0.66,0.549,1
Libbyb92,3345,16526,158,442,285,8,4.9405,2.7937,0.1139,10,0.292,0.6606,450699,4860.572,10996.7692,87.485,15.7861,1.2077,0.13,0.21,0.25,0.412,0
lackriver,3828,16918,73,567,190,30,4.4195,0.001,0.0347,331,2.634,4.6455,96941,482.84,851.5697,90.691,18.6478,1.2609,0.02,0.07,0.26,0.185,0
idfgforum,2633,17153,107,24248,85,122,6.5146,0.0015,0.0019,40,0.81,0.0334,929,1.434,0.0591,111.669,11.9756,1,0,0.95,0.99,0.245,0
coopnews,3422,17320,134,19255,10256,722,5.0614,0.3694,0.0117,292,4.725,0.2454,152,3.684,0.1913,132.917,19.5258,1.4056,0.68,0.14,0.95,0.775,1
Szkolar_Lohud,1384,17395,160,2938,1316,24,12.5686,0.3649,0.2587,161,2.991,1.018,5801,12.359,4.2066,128.309,16.3994,1.0267,0.07,0.06,0.65,0.852,1
bjmgraphics,2202,17633,159,150,22,6,8.0077,2.8465,0.1948,15,0.193,1.2867,65299,3164.773,21098.4867,122.173,3.157,1.6667,0.09,0.06,0.41,0.465,0
RichGetz,3499,18086,157,802,1013,30,5.1689,5.1112,0.0777,110,1.147,1.4302,135427,1004.972,1253.0823,99.286,3.3729,1.6882,0.09,0.05,0.34,0.333,0
ericabuist,3163,18190,141,9231,3217,143,5.7509,1.8239,0.0326,235,5.978,0.6476,327287,1450.087,157.0888,103.098,11.3648,1.1176,0.02,0.13,0.42,0.295,0
rockpapercynic,2759,18289,155,3872,755,109,6.6289,5.2845,0.1211,154,4.144,1.0702,168993,654.434,169.017,109.733,18.057,1.6136,0.09,0.26,0.46,0.642,1
demo_ken,2450,18342,145,2582,973,121,7.4865,0.2682,0.0114,31,2.14,0.8288,26,0.394,0.1526,103.333,21.673,2.5305,0.28,0.12,0.43,0.212,0
SavageBloggers,3098,18426,59,1198,6,61,5.9477,0.0442,0.0003,10,1.479,1.2346,9,1.091,0.9107,76.638,-6.8256,1.004,0.99,0,0.99,0.935,1
chelleyreads,3107,18635,110,1234,581,78,5.9977,0.3508,0.027,54,0.925,0.7496,107645,436.618,353.8233,95.843,22.9699,1.3664,0.13,0.11,0.52,0.157,0
mylin1,2736,18904,142,2362,1616,59,6.9094,7.4002,0.0278,34,2.036,0.862,11969,12.834,5.4335,74.522,32.9783,1.2059,0.03,0.2,0.17,0.159,0
coolmaterial,3664,18948,16,43146,266,1307,5.1714,0.0046,0,82,3.517,0.0815,29,0.871,0.0202,88.8,7.1316,0,0,0.99,1,0.477,0
norm,2890,18967,66,761673,698,2150,6.563,2.7038,0.0616,218499,3219.869,4.2274,100379,1103.309,1.4485,75.69,18.9535,1.2411,0.22,0.35,0.28,0.985,1
Noomoid,3190,19039,142,1328,2814,22,5.9683,3.6495,0.0088,51,2.553,1.9224,51337,145.488,109.5542,71.227,32.4056,1.0241,0.08,0.31,0.16,0.039,0
Mnawrah,2803,19498,99,3868,3758,16,6.9561,0.0342,0.2148,197,1.063,0.2748,295109,4692.459,1213.1487,84.595,10.8735,2.0383,0.21,0.5,0.19,0.732,1
KnowTechie,1470,19671,148,1135,360,59,13.3816,2.7633,0.0163,17,0.137,0.1207,2998,3.569,3.1445,119.072,3.3683,1.0917,0.22,0.81,0.99,0.148,0
iotguide,1515,19701,72,28785,9740,1523,13.004,3.1538,0.066,12,1.428,0.0496,2026,4.745,0.1648,123.017,13.1096,1.9986,0.71,0.01,0.95,0.636,1
MusicTalks_xyz,1142,19885,156,19368,14685,290,17.4124,17.535,0.1095,35,4.051,0.2092,40583,46.24,2.3874,116.803,23.3733,1.7335,0.32,0.17,0.67,0.589,1
Collectingtoyz,2670,20097,160,724,869,102,7.527,7.8206,0.2064,10,0.155,0.2141,37805,3914.142,5406.2735,116.793,38.1744,3.1055,0.6,0.28,0.46,0.6,1
gamebanshee,3237,20172,47,1118,107,57,6.2317,0,0,7,0.345,0.3086,5,0.246,0.22,77.965,-1.1152,0,0,0.26,1,0.195,0
DeathByMage,1018,20250,140,3663,1158,97,19.8919,51.501,0.3222,68,2.575,0.703,9413,44.242,12.0781,112.117,26.2084,1.6031,0.19,0.09,0.39,0.399,0
