screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
JurijRapoport,39,390,140,155,111,3,10,0.4359,0.1538,50,1.4203,3.6194,158,2.319,5.9097,133.6076,-2.8263,3.6976,0.63,0.01,0.95,0.5797,1
amangrovetree,1310,394,25,491,136,5,0.3008,0.4595,0.0527,17,1.3604,1.0916,164,1.6827,1.3503,106.1447,22.3007,1.9867,0.19,0.11,0.42,0.3249,0
kick_boardgames,29,405,35,154,19,4,13.9655,0,0,5,0.1743,0.4675,3,0.0678,0.1818,95.092,-0.1433,0,0,0,1,0.0605,0
4HOGS_GAMES,1421,427,43,774,2377,24,0.3005,0.0345,0.0366,13,0.5293,0.292,2045,8.4169,4.6434,80.3653,35.8105,3.1724,0.14,0.09,0.28,0.2436,0
GameScape3D,1473,428,52,427,356,18,0.2906,0.7386,0.0835,41,2.2342,2.2342,54895,142.7658,142.7658,116.4918,13.0217,4.3891,0.69,0.22,0.65,0.5878,1
PowercellGames,2291,429,0,15,60,4,0.1873,0.0004,0,6,0.1515,4.3333,5,0.1375,3.9333,127.0699,18.1843,1.9857,0.82,0.84,0.96,0.0909,0
EvanWayneENT,320,438,54,67,146,0,1.3687,2.075,0.4938,11,0.6675,4.1343,491276,8541.0916,52903.7761,76.0434,10.4041,1.7853,0.43,0.2,0.24,0.4482,0
nctjunguwu,91,442,10,90,56,0,4.8571,8.3626,3.9341,51,0.5968,2.9111,47654,3911.9431,19081.5889,86.8588,5.6509,3.4879,0.66,0.76,0.22,0.8588,1
Cube_your_Life,146,451,142,777,1111,7,3.089,3.0479,0.3562,34,2.3282,1.3514,413,3.4678,2.0129,120.4568,14.5464,2.9907,0.24,0.03,0.74,0.5876,1
ChanceCounters,1022,482,77,906,157,27,0.4716,0.3474,0.1145,90,2.0331,1.0839,209,2.5093,1.3377,116.4969,35.7065,2.0316,0.2,0.19,0.4,0.5072,1
JarlDM,1146,503,117,481,577,15,0.4389,0.1099,0.0157,20,0.7679,0.8046,5456,13.5377,14.185,89.9028,17.0478,1.2917,0.05,0.02,0.88,0.1429,0
LibrisArcana,99,519,93,3048,4743,23,5.2424,1.101,0.596,208,8.4472,1.4439,665,8.9597,1.5315,123.1593,20.6939,1.5174,0.33,0.06,0.66,0.5067,1
AlphaMecha,1347,521,43,24,66,2,0.3868,0.0059,0.0082,8,0.2399,5.2083,15,0.1574,3.4167,127.1171,18.7157,2.3054,0.82,0.57,0.98,0.0902,0
SatanandSons,1644,539,119,97,88,2,0.3279,0.6271,0.0097,12,4.0407,22.4948,44794,166.6944,927.9897,114.9833,19.3563,1.5556,0.02,0,0.89,0.2722,0
MaestroMurdock,1378,582,122,114,515,1,0.4224,0.299,0.1292,72,0.7791,3.9912,201055,1744.1918,8935.1579,117.625,23.6362,1.5812,0.33,0.13,0.52,0.3784,0
