screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
JLC613Mitz,199,607,102,1677,1889,0,3.0503,7.1206,0.4824,6,0.3242,0.1133,18376,76.8276,26.8462,112.5205,42.8985,2.4317,0.39,0.02,0.87,0.2338,0
jmawhite,1001,787,41,247,995,6,0.7862,0.6254,0.1339,93,0.6923,2.1862,92277,342.4667,1081.4737,108.8218,16.7333,1.218,0.17,0.11,0.57,0.259,0
joanatype,3196,2150,117,1030,832,43,0.6727,0.7594,0.0335,77,1.13,1.0971,170407,171.593,166.5951,72.548,22.7835,1.7131,0.24,0.33,0.39,0.169,0
JoeGKushner,3422,53047,92,6014,5816,122,15.5018,0.4608,0.1894,10,0.228,0.0379,71542,629.262,104.6329,115.98,12.6909,2.0369,0.22,0.20,0.38,0.675,1
Joel_Couture,2535,16161,158,2943,602,110,6.3751,5.927,0.1787,147,2.744,0.9324,11861,89.272,30.3337,122.072,17.507,1.9882,0.09,0.24,0.54,0.67,1
JoeyAtlas,3691,985,142,775,383,16,0.2669,0.1303,0.0349,4,0.1607,0.2039,581,0.7111,0.9019,106.0692,31.9301,1.8485,0.13,0.04,0.22,0.0651,0
johnbiggs,4120,775,156,38823,13035,2007,0.1881,0.1551,0.1019,55,0.6569,0.0098,201698,2544.0121,38.0065,104.0172,0.294,2.0513,0.07,0.21,0.28,0.7741,1
johndumelo1,2639,8660,118,470694,1556,493,3.2815,0.5457,0.1016,5302,286.215,0.6081,8505,62.164,0.1321,78.577,19.3322,1.3,0.09,0.12,0.59,0.969,1
johnguzlowski,2201,23616,126,9641,8083,210,10.7297,3.3853,0.2208,588,9.621,0.9979,169285,352.425,36.5548,95.1,9.3383,1.7209,0.04,0.07,0.23,0.721,1
johnhalton,3590,14314,146,1355,293,81,3.9872,0.4426,0.1011,71,1.006,0.7424,144368,1090.928,805.1129,116.567,7.6081,1.2075,0.05,0.13,0.49,0.485,0
