keywords,User,Time,Favorite count,retweets,Text
Understanding Book Publication Contracts,Auths_Alliance,2018/6/11 17:33,1,3,Just 5 more days &amp; less than $1k to go to reach our stretch goal on #Kickstarter! Help us put 50 FREE copies of our https://t.co/88QAG1HYWw
VinyL Display,AutographItNow,2018/6/4 10:30,0,1,Framed Vinyl Cover (Spies Like Us) Display Signed by @PaulMcCartney ... #thebeatles #musicmonday #signedmemorabilia https://t.co/XZ0tCvk5fJ
Card City XL The Crime expansion,AVStudioGames,2018/6/18 11:06,12,1,"A crime has been committed in CardCity XL, https://t.co/NtUGjrUXfx @425suzanne @HeavyCardboard @_pixiegames https://t.co/ldtV9vjeGS"
Arcane Scrollworks 2,Awesome8sRPG,2018/5/18 15:16,3,1,"RPG Crowdfunding News 096: Arcane Scrollworks 2,Savage Worlds Sovereign Stone, HeroBook, Archives of the Sky, Child https://t.co/UNdif3lMXr"
Secret Agents of CROSS for Savage Worlds,AxidentalDM,2018/6/2 2:50,2,1,I just backed Secret Agents of CROSS for Savage Worlds on @Kickstarter https://t.co/7mMd5myCln
I Am The Fourth Wall,azazel_42,2018/5/16 2:02,1,1,I just backed I Am The Fourth Wall - Asymmetrical Cthulhu Horror Card Game on @Kickstarter https://t.co/XURojlh9Sl
Timeshift,B_Crilly,2018/5/28 17:05,8,4,Like time travel stories? TIMESHIFT: TALES OF TIME from editor Eric S Fomley is on Kickstarter right now! Features https://t.co/5ZhmvOzCxB
Herbaceous Sprouts,B_G__Exposure,2018/6/8 22:22,2,2,Gaming Knights kickstarter preview ; We play Herbaceous Sprouts https://t.co/yRgvDvKrr8 via @YouTube @PencilFirst
Rotio Compass,BackerClub,2018/5/10 19:44,1,1,"Don't miss out on the Rotio Compass, last few days to pledge. Plus new reward options now available. https://t.co/0DiCcZvi06"
GNARBOX 2.0 SSD,BackerGuru,2018/5/27 20:35,1,1,GNARBOX 2.0 SSDRugged backup device for your camera. The most powerful portable workflow solution for photographer https://t.co/HJvWygxFXM
Backrelease,backrelease_,2018/6/12 22:26,5,1,"Muscle shortening. Can a muscle be too short?
https://t.co/XtIUiGqjgR
#backpain. Grab an #EarlyBird today https://t.co/e2izubdjxi"
MourneQuest,BackspindleGame,2018/5/22 7:45,0,1,Good morning! You can order me here https://t.co/jMolUnWLzf #heroine #Geek #chibi MourneQuest #irish #leprechaun https://t.co/yczGL8qo1O
Reissuing Isaac Newtons Opticks,BadAstronomer,2018/5/31 20:18,28,3,"Yeah, this parts cool too. A replica of Newtons work notebook! 

https://t.co/jYTncDIl13 https://t.co/gCLAhTntFi"
3D Printable,baldengineer,2018/6/18 23:53,1,1,"Build your own Guardian Gate with an lcd, an Arduino, and these 3d-printable plans. https://t.co/LjF5WXElsd https://t.co/wFIEy7wP6p"
UDOO BOLT,balio85,2018/6/4 8:48,5,3,The unbelievable AMD Ryzen-based Maker Board is LIVE on Kickstarter. Hurry up and get your UDOO BOLT NOW! https://t.co/gh6fCOP9vE
BANALA,BanalaLife,2018/6/7 18:55,0,1,BANALA: Alarm Clock that Makes You Fall Asleep Fast and Deep is popular on @Kickstarter! https://t.co/nR0r28Vdek
FITT Cube,bantonframework,2018/6/7 19:01,0,1,This is a gym inside a box. The Swiss army knife of physical training has landed on #Kickstarter. Meet FITT CUBE: https://t.co/pcOa91yvDR
Air Flix,BarberHynkel,2018/6/17 18:08,2,1,Air Flix Preview - A dexterity based tabletop game https://t.co/5hF6DPg187 by @StealthBuda #airflix
Itchy Monkey,BaRPiGgame,2018/6/13 10:29,8,7,In it's final stretch! And now also on @TabletopiaGames! Check out @AdventuresBox's fun yet highly strategic game I https://t.co/zfwJc8FIex
Edge of History,Bayo1000,2018/5/22 9:25,2,1,"Sanding @ D Edge of History.
Pics of Osun pp, Monday, shows feeling, yet @191 days 2 end govt. @raufaregbesola https://t.co/BxtiY8FZzN"
MOVE IT,BBCSport,2018/6/19 6:40,1,2,"""Real Madrid could interest me.""

Is Belgium forward Eden Hazard tempted by a move away from Chelsea?

It's Tuesday https://t.co/2GNs2yFBVs"
GoSave,BBStartups,2018/5/7 10:47,0,1,GoSave via @gaminggadgetsde https://t.co/whHHIHE0a0
Crisis at Steamfall,BDGTom,2018/5/14 15:02,6,2,"Crisis at Steamfall Kickstarter campaign is now live!
https://t.co/KiwD6xKhKc"
CastQuest,BeardWags,2018/6/18 12:47,6,3,"One of the BeardWags, Alex, has created a board game thats now live on @Kickstarter and nearly funded already! Che https://t.co/aulbMdGIwl"
Anno Domini 1666,beastsofwar,2018/5/15 16:00,2,1,We delve into the new project by #WargamerGamesStudio and talk to them about #AnnoDomini1666 - a fantastic Fantasy/ https://t.co/cEQ1EuPWf2
We Shall Be Monsters,Beatrice_Elaine,2018/6/3 21:40,5,3,We Shall Be Monsters https://t.co/6KotW7gDSe
KOSMOS ink,beckitrain,2018/6/14 22:06,0,1,I just backed KOSMOS ink - Magnetic Fountain Pen on @Kickstarter https://t.co/usRD5qJlBs #fountainpens #fountainpenaddict #kickstarter
Pico U. Brew Everything.,BecomingSchultz,2018/5/21 14:30,1,1,PicoBrew - New Pico U. Brew Beyond Craft Beer | Trendy Gadget Review - https://t.co/RG7wfZCGSw via @trendygadgetrev
Jaws of Extinction [Reboot],behindtheindies,2018/5/16 20:12,5,3,"""Jaws of Extinction"" is currently on #Kickstarter! You should probably head over and make a pledge. https://t.co/8Udch8fBsF"
Dice Bag,BeholderStudios,2018/6/4 22:34,1,1,"!giveaway for a dice tower and dice bag of my own design. to be entered into the raffle, join my stream this week a https://t.co/jpDPyqFaX7"
Castle von Loghan,bennetbieck,2018/5/21 7:10,2,3,To all #boardgame and #tabletop #fans: have a look at this #Amazing #Kickstarter #campaign ! A new #experience of https://t.co/Z38JIFH9Ih
Sensorwake Trio,BescentOfficial,2018/6/11 11:54,2,1,"@ChinaDailyUSA Thanks for sharing our new #SensorwakeTrio
Find our @kickstarter campaign here : https://t.co/PvTFlr8vGs "
HowUdish,BestAppAwards,2018/5/28 22:46,1,1,A special thank you to one of our most recent app nominees @howudish for submitting their #app in our best new mobi https://t.co/zL1c3yTtOV
Open Portals Playing Cards,BestCrowdFundng,2018/5/24 19:14,0,1,#Kickstarter Open Portals Playing Cards by James R. Eads: https://t.co/Z3PRcwdHSa https://t.co/WkdHWekrnQ
One Week Ultimate Werewolf,bestplayco,2018/5/15 11:06,3,1,. @beziergames has mixed Werewolf with Castles of Mad King Ludwig. A crazy weird combo we are very curious to try o https://t.co/ODZME6RWpB
Unicards,bethanyar26,2018/6/13 13:16,0,1,"A card game of unicorns, fun, and happy! 
Check it out!!

https://t.co/TdVVIKzbPs"
Dark Naga,BettaGamesHQ,2018/6/1 23:44,3,1,"I just backed Dark Naga - Carcosa for 5th Edition on @Kickstarter https://t.co/sKjnCGyJRi
#kickstarter #dnd #RPG"
Ohnut,beyondbasicspt,2018/6/11 20:28,1,1,"@OhnutCo Blog: The intersection of HealthTech and #Pelvichealth
Lifes too short for painful sex.
https://t.co/clBlXFbWHM"
One Week Ultimate Werewolf,beziergames,2018/6/12 1:54,10,5,"24 hours left to back One Week Ultimate Werewolf!

Explore Ludwig Castle, investigate your friends, and bluff your https://t.co/18lPAUbP78"
OrcQuest WarPath,BG_Heaven,2018/5/17 10:35,9,11,Check out this amazing cooperative new boardgame by @MazeGamesFR on @Kickstarter called #OrcQuestWarpath https://t.co/2e3iuQwGOI
Monster Card Blvd.,bgamegiveaway,2018/6/9 15:12,0,1,#ContestAlert 15 days remain! #EntertoWin - Monster Card Blvd #BoardGame #Giveaway https://t.co/5blerk9b82
BoardGames with Niramas 2018,BgwNiramas,2018/6/2 21:28,2,1,201% Funded! And the third Stretch Goal unlocked! :) So ALL backers get a ticket to the after Essen Excklusive Give https://t.co/ZRL5JxVBkO
Big Bad Con 2018,bigbadcon,2018/6/12 1:05,3,2,If you like the Wolf are big fuzzy and lovable and want to see Anna Kreider at Big Bad Con then donate to the Kicks https://t.co/uHYz7OccBx
TALES OF THE NORTHLANDS,BigBadLex,2018/5/28 9:37,10,3,The Family &amp; Solo rules for Tales of the Northlands are now uploaded onto BGG ;https://t.co/pjs2O4pTbu  Special tha https://t.co/DSYqyuTTHf
